Deg_Kart_No;Yas;Kart_Grubu;Etkinlik_Adi;Satıs_Dönemi;Bilet_Adedi;Birim_Bilet_Fiyati;Toplam_Bilet_Fiyati;Indirimli_Birim_Fiyat;Indirim_Kaybi;Net_Satis_Geliri;Odeme_Tipi;Satis_Kanalı
1000032361;64;AA;A;Genel Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Organizatr
1000031211;84;AA;A;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000030017;76;AA;B;Genel Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Organizatr
1000025134;71;AA;C;Genel Satis;2;1312.5;2625;984.375;656.25;1968.75;Kart;Organizatr
1000022096;74;AA;A;Genel Satis;2;750;1500;562.5;375;1125;Kart;Organizatr
1000018899;62;AA;A;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000016250;46;AA;A;Genel Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Organizatr
1000007089;63;AA;A;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000003709;70;AA;B;Genel Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Organizatr
1000030256;70;AA;C;Genel Satis;2;1312.5;2625;984.375;656.25;1968.75;Kart;Organizatr
1000021994;48;AA;A;Genel Satis;2;750;1500;562.5;375;1125;Kart;Organizatr
1000033190;55;AA;A;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000031011;67;AA;D;On Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000029930;69;AA;D;On Satis;2;450;900;337.5;225;675;Kart;Organizatr
1000028926;64;AA;D;On Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000021912;67;AA;D;On Satis;2;450;900;337.5;225;675;Kart;Organizatr
1000020154;65;AA;E;On Satis;1;45;45;45;0;45;Kart;Ana Gişe
1000019200;77;AA;E;On Satis;2;45;90;45;0;90;Kart;Ana Gişe
1000017914;54;AA;E;On Satis;2;45;90;45;0;90;Kart;Organizatr
1000017346;45;AA;E;Genel Satis;-1;-112.5;-112.5;-67.5;-45;-67.5;Kart;Ana Gişe
1000017230;60;AA;E;On Satis;2;112.5;225;90;45;180;Kart;Ana Gişe
1000016745;47;AA;E;On Satis;1;45;45;45;0;45;Kart;Organizatr
1000034921;45;AA;E;On Satis;1;45;45;45;0;45;Kart;Ana Gişe
1000026885;65;AA;E;On Satis;1;112.5;112.5;67.5;45;67.5;Kart;Ana Gişe
1000026658;62;AA;E;On Satis;1;112.5;112.5;67.5;45;67.5;Kart;Ana Gişe
1000026230;60;AA;D;Genel Satis;2;450;900;337.5;225;675;Kart;Organizatr
1000025740;39;AA;E;On Satis;2;45;90;45;0;90;Kart;Ana Gişe
1000025618;56;AA;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Ana Gişe
1000024094;53;AA;E;On Satis;2;45;90;45;0;90;Kart;Ana Gişe
1000023564;70;AA;E;On Satis;1;45;45;45;0;45;Kart;Ana Gişe
1000021633;60;AA;E;On Satis;2;45;90;45;0;90;Kart;Ana Gişe
1000017552;64;AA;E;On Satis;1;45;45;45;0;45;Kart;Ana Gişe
1000034982;59;AA;E;On Satis;1;45;45;45;0;45;Kart;Ana Gişe
1000012866;47;AA;D;Genel Satis;2;281.25;562.5;211.875;138.75;423.75;Kart;Organizatr
1000011913;86;AA;E;On Satis;1;112.5;112.5;67.5;45;67.5;Kart;Ana Gişe
1000034662;57;AA;E;On Satis;1;45;45;45;0;45;Kart;Ana Gişe
1000005125;75;AA;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Ana Gişe
1000033314;39;AA;E;On Satis;1;112.5;112.5;67.5;45;67.5;Kart;Ana Gişe
1000027705;63;AA;E;On Satis;1;45;45;45;0;45;Kart;Ana Gişe
1000024407;58;AA;E;On Satis;1;45;45;45;0;45;Kart;Ana Gişe
1000022286;50;AA;E;On Satis;1;45;45;45;0;45;Kart;Ana Gişe
1000032490;74;AA;E;On Satis;1;112.5;112.5;67.5;45;67.5;Kart;Ana Gişe
1000032340;68;AA;D;Genel Satis;2;375;750;281.25;187.5;562.5;Kart;Organizatr
1000031980;65;AA;E;On Satis;2;45;90;45;0;90;Kart;Ana Gişe
1000031914;55;AA;E;On Satis;1;45;45;45;0;45;Kart;Ana Gişe
1000031326;55;AA;E;On Satis;1;112.5;112.5;67.5;45;67.5;Kart;Ana Gişe
1000030925;41;AA;E;On Satis;1;45;45;45;0;45;Kart;Ana Gişe
1000030881;64;AA;D;Genel Satis;2;750;1500;562.5;375;1125;Kart;Organizatr
