Deg_Uye_iD;Deg_iD;Kart_Grubu;Uyelik_Tipi;VALiD_TO;il;iLcE;Yas;Kanal
6109;1000011790;CC;Yeni;31.01.2011;istanbul;Erenkoy;N/A;Cagri Merkezi
6832;1000013806;CC;Yeni;31.01.2011;istanbul;cekmekoy;61;IKSV
6833;1000013807;CC;Yeni;31.01.2011;istanbul;cekmekoy;60;IKSV
6836;1000013819;XX;Yeni;31.01.2011;istanbul;N/A;45;IKSV
6847;1000013839;CC;Yeni;31.01.2011;istanbul;N/A;44;IKSV
6848;1000013840;CC;Yeni;31.01.2011;istanbul;N/A;48;IKSV
6849;1000013845;CC;Yeni;31.01.2011;istanbul;N/A;43;IKSV
6850;1000013852;CC;Yeni;31.01.2011;istanbul;N/A;40;IKSV
6851;1000013856;CC;Yeni;31.01.2011;istanbul;N/A;39;IKSV
6852;1000013859;CC;Yeni;31.01.2011;istanbul;N/A;48;IKSV
6853;1000013869;CC;Yeni;31.01.2011;N/A;N/A;36;IKSV
6854;1000013871;CC;Yeni;31.01.2011;istanbul;N/A;60;IKSV
6855;1000013881;CC;Yeni;31.01.2011;istanbul;N/A;49;IKSV
6856;1000013890;CC;Yeni;31.01.2011;istanbul;N/A;40;IKSV
6857;1000013891;CC;Yeni;31.01.2011;istanbul;N/A;37;IKSV
6858;1000013892;CC;Yeni;31.01.2011;istanbul;N/A;42;IKSV
6859;1000013901;CC;Yeni;31.01.2011;istanbul;N/A;38;IKSV
6860;1000013906;CC;Yeni;31.01.2011;istanbul;Suadiye;40;IKSV
6861;1000013909;CC;Yeni;31.01.2011;istanbul;N/A;50;IKSV
6862;1000013919;CC;Yeni;31.01.2011;istanbul;N/A;60;IKSV
6863;1000013923;CC;Yeni;31.01.2011;istanbul;N/A;56;IKSV
6864;1000013927;CC;Yeni;31.01.2011;istanbul;N/A;56;IKSV
6865;1000013935;CC;Yeni;31.01.2011;istanbul;N/A;49;IKSV
6866;1000013940;CC;Yeni;31.01.2011;istanbul;N/A;56;IKSV
6867;1000013944;CC;Yeni;31.01.2011;istanbul;N/A;51;IKSV
6868;1000013952;CC;Yeni;31.01.2011;istanbul;N/A;41;IKSV
6869;1000013961;CC;Yeni;31.01.2011;istanbul;N/A;44;IKSV
6870;1000013970;CC;Yeni;31.01.2011;istanbul;N/A;75;IKSV
6871;1000013971;CC;Yeni;31.01.2011;istanbul;N/A;61;IKSV
6872;1000013972;CC;Yeni;31.01.2011;istanbul;N/A;37;IKSV
6877;1000013980;CC;Yeni;31.01.2011;istanbul;Maslak;48;IKSV
6880;1000013987;DD;Yeni;31.01.2011;istanbul;Fatih;47;IKSV
6881;1000013988;AA;Yeni;31.01.2011;istanbul;icerenkoy;48;IKSV
6883;1000013997;DD;Yeni;31.01.2011;istanbul;sisli;34;IKSV
6989;1000014288;CC;Yeni;31.01.2011;istanbul;N/A;38;IKSV
7519;1000015984;CC;Yenileme;31.01.2011;istanbul;Beyoglu;40;IKSV
7520;1000015985;CC;Yenileme;31.01.2011;istanbul;Beyoglu;42;IKSV
7524;1000015998;CC;Yenileme;31.01.2011;istanbul;Besiktas;62;IKSV
7529;1000016024;CC;Yenileme;31.01.2011;istanbul;Besiktas;40;IKSV
7531;1000016029;DD;Yenileme;31.01.2011;istanbul;Caddebostan;82;IKSV
7536;1000016047;DD;Yenileme;31.01.2011;istanbul;Kucukyali;79;IKSV
7611;1000016295;CC;Yenileme;31.01.2011;istanbul;N/A;35;IKSV
7730;1000016660;BB;Yenileme;31.01.2011;istanbul;Kabatas;54;IKSV
7748;1000016732;BB;Yenileme;31.01.2011;istanbul;sisli;52;IKSV
7792;1000016855;DD;Yenileme;31.01.2011;istanbul;uskudar;40;IKSV
7971;1000017479;DD;Yeni;31.01.2011;istanbul;Hisarustu;58;IKSV
8270;1000018405;CC;Yeni;31.01.2011;Adana;Seyhan;71;Internet
8286;1000018474;CC;Yenileme;31.01.2011;istanbul;Kadikoy;49;IKSV
8326;1000018624;AA;Yenileme;31.01.2011;istanbul;Gunesli;71;IKSV
8384;1000018806;CC;Yenileme;31.01.2011;istanbul;Etiler;83;IKSV
8475;1000019073;CC;Yenileme;31.01.2011;istanbul;N/A;49;IKSV
8548;1000019303;CC;Yenileme;31.01.2011;istanbul;N/A;78;IKSV
8597;1000019491;BB;Kat. Yükseltme;31.01.2011;istanbul;saskinbakkal;75;IKSV
8616;1000019571;CC;Yenileme;31.01.2011;istanbul;N/A;43;IKSV
8643;1000019648;CC;Yenileme;31.01.2011;istanbul;N/A;44;IKSV
8784;1000020104;CC;Yenileme;31.01.2011;istanbul;Anadoluhisari;63;IKSV
8803;1000020181;CC;Yeni;31.01.2011;istanbul;Eminonu;40;Internet
8813;1000020201;CC;Kat. Yükseltme;31.01.2011;istanbul;Avcilar;82;IKSV
8856;1000020358;CC;Yenileme;31.01.2011;istanbul;N/A;51;IKSV
8892;1000020486;BB;Yenileme;31.01.2011;istanbul;Kadikoy;69;IKSV
9163;1000021314;CC;Yenileme;31.01.2011;istanbul;N/A;48;IKSV
9244;1000021577;CC;Yenileme;31.01.2011;istanbul;Atasehir;36;IKSV
9318;1000021863;CC;Yenileme;31.01.2011;istanbul;N/A;45;IKSV
9329;1000021897;CC;Yenileme;31.01.2011;istanbul;N/A;48;IKSV
9507;1000022484;CC;Yenileme;31.01.2011;istanbul;Besiktas;48;IKSV
9711;1000023085;CC;Yenileme;31.01.2011;istanbul;N/A;41;IKSV
9753;1000023227;CC;Yenileme;31.01.2011;istanbul;Karakoy;41;IKSV
9945;1000023887;CC;Yeni;31.01.2011;istanbul;Fenerbahce;44;Internet
9962;1000023918;CC;Yenileme;31.01.2011;istanbul;N/A;61;IKSV
9968;1000023936;AA;Yenileme;31.01.2011;istanbul;Eyup;85;IKSV
10104;1000024416;BB;Yenileme;31.01.2011;istanbul;Besiktas;72;IKSV
10148;1000024560;BB;Yeni;31.01.2011;istanbul;Kagithane;59;Internet
10399;1000025080;DD;Yenileme;31.01.2011;istanbul;Yesilyurt;38;IKSV
11378;1000026615;CC;Yenileme;31.01.2011;istanbul;Eyup;51;IKSV
11609;1000027008;CC;Yenileme;31.01.2011;istanbul;Sariyer;58;IKSV
11796;1000027242;CC;Kat. Yükseltme;31.01.2011;istanbul;Erenkoy;51;IKSV
11945;1000027455;DD;Yenileme;31.01.2011;istanbul;Buyukada;69;IKSV
